member_id,score,rank
5940,1.0,1
7243,1.0,2
9192,0.9044319677884204,3
6185,0.8987087431142795,4
8152,0.8981956242887291,5
1136,0.8887828402026016,6
9706,0.885045289003856,7
85,0.8779563186392336,8
3746,0.8768698180811438,9
8497,0.8753891955004267,10
113,0.8738020006609091,11
3666,0.8735464060466112,12
1216,0.8723764379361375,13
4400,0.8722195050344361,14
2082,0.8664634574396824,15
4068,0.8647328171263777,16
8726,0.8644736610033349,17
4791,0.8607793954563355,18
8353,0.8535417363626173,19
6348,0.853347734510308,20
4887,0.8528346553807971,21
9497,0.8514099107231508,22
4249,0.8482565776864213,23
1483,0.848169547526185,24
4566,0.8477570088341682,25
2393,0.8431814590791491,26
8253,0.8429711480263024,27
1434,0.8416775721471883,28
7297,0.839696548724667,29
1620,0.8379699566104216,30
3248,0.8370879743438021,31
2714,0.837044228399974,32
6029,0.8359123292777643,33
7154,0.835225813060058,34
6225,0.8338571088169937,35
8535,0.8334485016503487,36
4456,0.8333186851925204,37
915,0.8323039171386399,38
4521,0.8320157460053205,39
572,0.8305453813643818,40
2962,0.830335924327663,41
6864,0.8281445204620355,42
1338,0.8265343921321772,43
8850,0.8256105360372133,44
1900,0.8248285409634657,45
1378,0.8240508934782241,46
2108,0.8230358873456314,47
2317,0.8230071172990693,48
2097,0.8226916238640067,49
2655,0.8222577594818745,50
4303,0.8220489062056483,51
8221,0.8218925675369695,52
4718,0.8216756214408352,53
830,0.8215825530268607,54
7526,0.8183646254770623,55
6296,0.8183560947893913,56
6876,0.818300991667489,57
3624,0.8181380638567592,58
3297,0.8174809802485236,59
1772,0.8167369903936051,60
4805,0.8159539227659309,61
3184,0.8156967085981054,62
9793,0.8156202263244542,63
5667,0.815227153378125,64
2761,0.8151866969561049,65
443,0.8150947788164564,66
9913,0.815003724023439,67
4140,0.8148497959157751,68
9088,0.8144995255659071,69
880,0.8127681596615851,70
9229,0.8110041469463349,71
4734,0.811003633610907,72
1170,0.8108480694029285,73
87,0.8106378939302037,74
501,0.8105897680253487,75
7461,0.8103832903871423,76
8005,0.8097204886216175,77
2197,0.8090877816088488,78
7226,0.8082824698041169,79
1427,0.8080474261436468,80
9466,0.8079844437636833,81
5683,0.8072170451715123,82
5516,0.8060100202226,83
9179,0.8059694050191721,84
3169,0.8045004559062215,85
5957,0.8042534523718381,86
3759,0.8041004959051479,87
2134,0.8035305139301724,88
8316,0.8028392482513128,89
2928,0.8027178985117837,90
8735,0.8021449932898509,91
2800,0.801602400375552,92
7745,0.8013904479635333,93
1700,0.8013884257762148,94
8972,0.8007562118901762,95
1634,0.7998384919424574,96
677,0.7996954408752863,97
5759,0.7995934597210487,98
829,0.7989301955041839,99
50,0.7979214341859432,100
1190,0.7977855688375103,101
4978,0.7976855379026576,102
4739,0.7974238516586958,103
5971,0.7971127042874837,104
9681,0.7970884641020479,105
5440,0.7970636232655229,106
9630,0.797044622085088,107
6836,0.7970011531841534,108
3138,0.7967478407639431,109
154,0.7966648295217944,110
3053,0.7965554723991867,111
4250,0.7961072925253462,112
7416,0.7953109181361933,113
8178,0.7949010040552207,114
3002,0.7946877067961173,115
2472,0.7946714700817141,116
9327,0.7944870037736089,117
3215,0.794385469027744,118
1871,0.7934957169723179,119
6469,0.7929242561244562,120
7310,0.7928986546495843,121
8829,0.7924969853365709,122
5825,0.7924002160499243,123
8610,0.7923562047014615,124
8033,0.7916753301649254,125
5022,0.7902249262626893,126
4475,0.7896233713236515,127
889,0.7894817742880277,128
8933,0.789458188919687,129
4786,0.789058928766877,130
1092,0.7888988243506956,131
2881,0.7883553187798839,132
1639,0.7882375865604687,133
9048,0.7872236287368559,134
3124,0.7858066014148923,135
6652,0.7858001874812555,136
9632,0.7856385067780972,137
5087,0.7853358606071006,138
1109,0.7852391773867863,139
2777,0.7846511443861972,140
4423,0.7844120365691493,141
7560,0.7840564147772343,142
1747,0.783403699075822,143
778,0.783362030305009,144
8028,0.7831940096144876,145
4110,0.7823359107973056,146
9230,0.7821820690893448,147
3401,0.7819575799158436,148
